thermax,थरमैक्स,थर्मैक्स
surfactants,सर्फेकटेंट्स,सर्फकटैंट्स
mitao,मिटाओ,मिटाओ
kailana,कायलाना,कैलाना
tankar,टंकार,टांकर
odhkar,ओढ़कर,ओधकर
merta,मेड़ता,मेर्टा
megavaal,मेगवाल,मेगावाल
rasyanik,रसायनिक,रस्यानिक
soochnah,सूचनाः,सूचनाह
sugamata,सुगमता,सुगमता
jockey,जोकि,जोके
munaf,मुनाफ,मुनाफ
niswarth,निस्वार्थ,निसवर्थ
kshetradwaaraa,क्षेत्रद्वारा,क्षेत्राद्रव
mahawar,महावर,महावर
buldhana,बुलढाना,बुढ़ाना
dhamkata,धमकाता,धमकटा
bhusvami,भूस्वामी,भुस्वामी
vigyan,विज्ञान,विज्ञान
quete,क्यूट,क्यूट
bevkufana,बेवकूफाना,बेवकुफन
jajmau,जाजमऊ,जाम्मौ
beltran,बेल्ट्रान,बेल्टरन
vilas,विलास,विलास
makhdumpur,मखदुमपुर,मखडूमपुर
kolorado,कोलोराडो,कोलोराडो
blackburn,ब्लैकबर्न,ब्लैकब्रुन
suniti,सुनीति,सुनिति
ghigghee,घिग्घी,घिग्ही
flavonoids,फ्लेवनाइड्स,फ्लावोनोडिस
chahunmukhi,चहुंमुखी,चाहून्मुखी
supachye,सुपाच्य,सुपच्याये
siratee,सिरती,सिरती
vishnu,विष्णु,विष्णु
chaudahavan,चौदहवां,चौहावां
chaudhari,चौधरी,चौधरी
aabru,आबरू,आब्रू
balurak,बलुरक,बालूरक
davangere,दावणगेरे,दवांगरे
anurit,अनुरीत,अनूरित
shipping,शिपिंग,शिप्ंग
patiala,पटियाला,पतियाला
jaanam,जानम,जामन
financial,फाइनेंसियल,फाइनेंशियल
damae,दमाए,दमाए
policy,पालिसी,पोलिसी
icc,आइसीसी,आईसी
kuchchh,कुच्छ,कछु
cheekhna,चीखना,चीखना
reliance,रिलायंस,रिलिएंस
urvarakon,उर्वरकों,उरवरकों
ravael,रवैल,रवैल
ladhkiyon,लड़कियो,लख्कियों
mukeshwaree,मुकेश्वरी,मुकेश्वराय
wankshetra,वनक्षेत्र,वानकशेत्रा
ummeede,उम्मीदे,उम्मेदे
kahaavah,कहावह,कहावाह
kaantipoorn,कांतिपूर्ण,कांतिपूर्ण
badaaen,बड़ाएँ,बड़ाएँ
enseeaardablyusee,एनसीआरडब्ल्यूसी,एनसियार्बेदल्सी
pratibaddhataa,प्रतिबद्धाता,प्रतिबद्धता
follow,फ़ॉलो,फोलोव
sevamukta,सेवामुक्त,सेवमुक्त
evanston,इवान्स्टन,इवैंस्टन
charas,चरस,चरस
hills,हील्स,हिल्स
robertsan,रॉबर्टसन,रोबेटरान
bhadauriya,भदौरिया,भढौरिया
glaxosmithkline,ग्लैक्सोस्मिथक्लीन,ग्लाकस्मोन्थिनी
producton,प्रॉडक्टों,प्रॉडक्यून
guevara,गेवारा,गुएवरा
vigyaanon,विज्ञानों,विज्ञानों
jarvis,जार्विस,जविर्स
laphz,लफ्ज,लफ्ज
font,फॉन्ट,फ़ॉन्ट
paradheen,पराधीन,परधीन
shak,शक़,शक
ganjhoo,गंझू,गनझू
dit,डिट,डिट
danptiyon,दंपतियों,डैंप्टियों
maadhikhedhaa,माड़ीखेड़ा,माधिखेड़ा
pratishthaanon,प्रतिष्ठानोंं,प्रतिष्ठाओं
soond,सूंड़,सूंद
ginte,गिनते,गिनटे
alagalag,अलगअलग,अलागलग
swastikakaar,स्वास्तिकाकार,स्वस्तिकाकर
pratikaraa,प्रतिकारा,प्रतिकारा
aastik,आस्तिक,आस्तिक
niveshkartaa,निवेशकर्ता,निवेशकर्ता
saval,सवाल,सवल
sanskritiyan,संस्कृतियां,संस्कृतियां
raubdar,रौबदार,रौबदार
raghuram,रघुराम,रघुरम
intaravyu,इंटरव्यु,इंतर्वयू
chharhari,छरहरी,छरहरी
sawyer,सॉयर,सायर
bhasapa,भासपा,भसप
jvaaron,ज्वारों,ज्वारों
sansthita,संस्थिता,संस्थिता
parshdon,पार्षदों,परशदों
pulatskar,पुलत्स्कर,पुलतस्कर
uthaaeange,उठाएँगे,उठाएंगे
laengee,लाएंगी,लेंगी
oeeef,ओईएफ,ओएफ
valsad,वलसाड,वालसैड
mulon,मूलों,मुलों
putliyan,पुतलियां,पुत्लियां
shmil,शमिल,श्मिल
riggs,रिग्स,रिग्स
camarillo,कैमेरिलो,कैमारिलो
saflataa,सफ़लता,सफलता
vinasht,विनष्ट,विनश्त
kping,कपिंग,केपिंग
jayalalithaa,जयललिता,जयलाथीया
items,आइटम्स,आईटीएमएस
soccer,सॉकर,सोकर
asphalt,एस्फाल्ट,एसफल्ट
mehrotra,मेहरोत्रा,मेहरोत्रा
chune,चुने,चुने
zarakh,जरख,ज़रख
mejbaani,मेज़बानी,मेजबानी
muflisi,मुफलिसी,मफ़्लिसी
luna,लूना,लूना
warnavyavasthaavaadiyon,वर्णव्यवस्थावादियों,वर्णव्यावाध्यातों
lipaaee,लिपाई,लिपाई
uthni,उठनी,उठनी
bajaj,बजाज,बजाज
hisarah,हिसारः,हिसारह
dampatiyon,दंपतियों,दमपतियों
watson,वॉटसन,वाटसन
augustustine,अगस्टाइन,ऑगस्टस्टाइन
pataakshep,पटाक्षेप,पटाक्षप
dhandhekhoree,धंधेखोरी,धंधेखोरी
ubhregaa,उभरेगा,उभ्रेगा
anton,एंटोन,एंटन
apardarshi,अपारदर्शी,अपरदरशी
nihlaani,निहलानी,निहलानी
tivolee,टिवोली,तिवोली
hogis,होगिस,होगिस
winter,विंटर,विंटर
badalavaakar,बदलवाकर,बडलावकर
ghumaee,घुमाई,घुमई
petaluma,पेटालुमा,पेटालुमा
beeemdablyooem,बीएमडब्ल्यूएम,बीमदकल्लीम
bakhshate,बख्शते,बख्शाते
sanvedikaran,संवेदीकरण,संवेदीकरण
telon,तेलों,टेलों
ghummakkadon,घुमक्कड़ों,घुम्मकादों
haanfte,हांफते,हाँफते
farheen,फरहीन,फरहीं
james,जेम्स,जमेस
kiratpur,कीरतपुर,किरतपुर
redding,रेडिंग,रिडिंग
shaq,शक़,शक
surprise,सरप्राइज़,सर्प्सी
kisanon,किसानों,किसनों
chalenge,चलेंगे,चालेंगे
yoder,योडेर,योदर
stein,स्टीन,स्टेन
paithelojist,पैथेलॉजिस्ट,पैथेलोजिस्ट
labeling,लेबलिंग,लेबिलिंग
ikthiyosis,इक्थियोसिस,इक्थियोसिस
liberation,लिबरेशन,लिबरेशन
phoodon,फूडॉन,फूदों
nanhein,नन्हें,ननहें
bhadauria,भदौरिया,भढौरिया
jatilaa,जटिला,जतिला
pahunchanee,पहुंचनी,पहुंचने
raashtron,राष्ट्रोंं,राष्ट्रों
blossom,ब्लॉसम,ब्लॉसम
tandon,टंडन,तण्डों
gadbadbadee,गड़बड़बड़ी,गड़बड़ाबादी
sanasthita,संस्थिता,सनस्थिता
yatraen,यात्राएं,यात्राएं
aadan,आदान,आआँ
javate,जावते,जवते
niyuttiyon,नियुत्तियों,नियुत्तियों
bhishm,भीष्म,भीषम
hundiya,हंडिया,हुण्डिया
murgeepaalan,मुर्गीपालन,मुर्गीपालन
malekar,मालेकर,मलेकर
loveland,लवलैंड,लोवेलैंड
mavey,मावे,मवे
vikram,विक्रम,विक्रम
hanfte,हांफते,हैंफटे
barrackpore,बैरकपुर,बर्रेक्सपोर
ghaziabad,ग़ाज़ियाबाद,गज़ीबाद
tarkon,तर्कों,तरकों
spf,एसपीएफ,एसपीएफ
artemis,आर्टेमिस,आर्टिमिस
aipp,ऐप्प,एआईपीएप
jaiban,जयबाण,जैबन
gairairaadatan,गैरइरादतन,गैरारीदातां
vivekadhin,विवेकाधीन,विवेकधीन
sabajooniyar,सबजूनियर,सबाजूनियर
faliya,फालिया,फलिया
prekshakganon,प्रेक्षकगणों,प्रेक्षक्गांस
purvaasiyon,पुरवासियों,पूर्वासियों
vipannata,विपन्नता,विपन्नता
maanga,मांगा,माँगा
ordanens,ऑर्डनेंस,ओर्डेनेंस
pradhan,प्रधान,प्रधन
abhiyuktonke,अभियुक्तोंके,अभियुक्तिने
viratkhand,विराटखंड,विराथकांड
hijbul,हिजबुल,हिजबुल
vidyaon,विद्याओं,विद्याओं
manju,मंजू,मन्जू
chhawindra,छविंद्र,छविंद्रा
chhupkar,छुपकर,छूपकर
doranda,डोरंडा,दोरंदा
saym,सायं,सयम
mithhaiyaan,मिठाइयाँ,मिथायैं
jeevvigyaniyon,जीवविज्ञानियों,जीवज्ञानियों
pashtuun,पश्तून,पष्टुन
brahraachaarinee,ब्रह्राचारिणी,ब्रह्राचार्णीने
jerusalem,यरूशलेम,जेरुसलम
altamonte,एल्टामोंटे,एल्टामोन
sihuntaa,सिहुंता,सिहुंता
hemwati,हेमवती,हेमवाती
koshadhikaaree,कोषाधिकारी,कोशधिकारे
ashanka,आशंका,आशांका
bean,बीन,बीएन
vaigyanikata,वैज्ञानिकता,वैज्ञानिकता
jheelon,झीलों,झीलों
robarto,रोबर्तो,रोबार्टो
shrirampur,श्रीरामपुर,श्रीहाप्पर
manchiya,मंचीय,मांचिया
vasoolataa,वसूलता,वसूलता
morrison,मोरीसन,मोरिसन
mhagranth,महाग्रंथ,महग्रन्थ
transistor,ट्रांजिस्टर,ट्रांसस्टर
sarvjaatiya,सर्वजातीय,सर्वजातिया
patotsav,पाटोत्सव,पतोत्सव
houkee,हाॅकी,हूकी
medithsan,मेडिथ्सन,मिडिथसन
udana,उड़ाना,उदाना
saraaymohiuddeenpur,सरायमोहिउद्दीनपुर,सरामोहीनुद्धीपुर
petersburg,पीटर्सबर्ग,पेटरसबर्ग
ranjkatha,रंजकता,रणजकथा
diya,दीया,दिया
mohindar,माेहिंदर,मोहिंदर
mastek,मस्टेक,मस्तेक
nirbadh,निर्बाध,निरबाध
ehsaas,एहसास,एहसास
avrutiyon,आवृत्तियों,अवृत्यों
eshiyavan,एशियवन,एशियावान
thki,थकी,ठीकी
turbine,टरबाइन,टर्बन
dimaak,दिमाक,दिमक
jodhpur,जोधपुर,जोधपुर
durdhara,दरदरा,दुरधारा
khaastaur,ख़ासतौर,खास्टौर
makrani,मकरानी,मकरानी
high,हाई,हिं
fatahi,फटही,फतही
mariya,मारिया,मरिया
ganv,गॉंव,गणव
pendulam,पेंडुलम,पेंडुलम
aavishakaar,आविष्कार,आविशकर
natijeh,नतीजेः,नतिजेह
jeffersonville,जेफरसनविल,जेफ्रेन्सवाली
brahmasiddhi,ब्रह्मसिद्धि,ब्रह्मसाधि
tulshidas,तुलसीदास,तुलशीदास
reeta,रीता,रीटा
charchaamanch,चर्चामंच,चर्चमांच
pratikaaraa,प्रतिकारा,प्रतिकारा
tarkwaad,तर्कवाद,तर्कवाद
dabangon,दबंगों,दबांगों
hichkicha,हिचकिचा,हिचकिचा
sheershakon,शीर्षकों,शीष्कारों
dam,डम,एम
dviarthee,द्विअर्थी,द्वियार्थी
jawabah,जवाबः,जवाबाह
bahumaan,बहुमान,बहुमान
jaanchkarata,जांचकर्ता,जाँचकर्ता
vandemaataram,वन्देमातरम्,वन्दमात्रम
should,शुड,शौल्ड
agsta,अगस्ता,एग्सटा
neu,एनईयू,नू
dastakhatshuda,दस्तखतशुदा,दस्ताखादाशापा
surinama,सूरीनाम,सुरिनमा
kingkhan,किंगखान,किंगखान
taras,तरस,तरस
rekannecting,रिकनेक्टिंग,रिकनेक्टिंग
phaibrik,फाइब्रिक,फैब्रिक
clair,क्लेयर,क्लैयर
chhejat,छीजत,छेज
mominatolaa,मोमिनटोला,मोमिनेटाला
virodh,विरोध,विरोध
arena,अरेना,अरेना
unionwaadi,यूनियनवादी,यूनियांवाडी
bamleshvaree,बम्लेश्वरी,बमलेश्वरे
boca,बोका,बोका
immaturity,इम्मैच्योरिटी,इम्टैचरी
sansthaan,संसथान,संस्थान
jin,जीन,जिन
dadrewa,ददरेवा,दादरेवा
kide,कीड़े,किड़े
karawanou,करावणौ,करावानो
putin,पुतिन,पुतिन
tankaar,टंकार,टांकर
khatakati,खटकती,खटकती
jadd,जड़,जड़
pushpa,पुष्प,पुष्पा
gm,जीएम,जीएम
yusugi,युसूगी,युसुगी
korola,कोरोला,कोरोला
pyade,प्यादे,प्यादे
karavaayegee,करवायेगी,करवाएगी
balaatkaariyon,बलात्कारियों,बलात्कारियों
jatatee,जताती,जटती
gurdaspur,गुरदासपुर,गुरदसपुर
shreshthaswaroop,श्रेष्ठस्वरूप,श्रेष्ठसवरूप
shubhprabhaa,शुभप्रभा,शुभप्रभा
europlast,यूरोप्लास्ट,यूरोप्लास्ट
rashtrabhakton,राष्ट्रभक्तों,रष्टभात्तों
canterbari,कैंटरबरी,केंटरबारी
communicators,कम्युनिकेटर्स,कम्यूनिक्टर्स
mahamanch,महामंच,महामंच
conway,कॉन्वे,कनवे
dwf,डीडब्ल्यूएफ,डीएफवी
reeves,रीव्स,रीवेस
dabhoi,डभोई,दभोई
bhootal,भूतल,भूतल
insaano,इंसानो,इनसानो
emily,एमिल,एमिली
vigyaanam,विज्ञानम,विज्ञानम
sapatey,सपाटे,सपटे
atwaal,अटवाल,अटवाल
hindan,हिंडन,हिंदन
aaufisaree,ऑफिसरी,आऊफ़ासरी
montclair,मोंटक्लेयर,मोंटलेकर
purnsveekrit,पुर्नस्वीकृत,पूर्वसिक्षेत्री
richardson,रिचर्डसन,रिचार्डसन
sandrbh,संदर्भ,संद्रभ
fargo,फार्गो,फार्गो
aleem,अलीम,एलीम
saptakranti,सप्तक्रांति,सप्तक्रकांती
hr,एचआर,हर
imaandaari,इमानदारी,इमानदारी
kontrekting,कॉन्ट्रेक्टिंग,कोंट्रेक्टिंग
gangajal,गंगाजल,गंगाजल
gaur,गौर,गौर
adhikariyon,अधिकरियों,अधिकारियों
bandhan,बंधान,बनधन
sendha,सेंधा,सेंधा
dablyoopidi,डब्ल्यूपीडी,दब्लूपिडी
gravita,ग्रविटा,ग्रविता
lincoln,लिंगकन,लिंकोल
pravrittivigyanon,प्रवृत्तिविज्ञानों,प्रवृत्तिज्ञाओं
cementation,सीमेंटेशन,सेमेंटेशन
bagad,बगड़,बगड़
gentry,जेन्ट्री,जेन्ट्री
datson,डैटसन,दतसों
montebello,मोंटेबेल्लो,मोन्टेबलो
renewables,रिन्यूएबल्स,रेनेवाल्स
naksalwad,नक्सलवाद,नक्सलवाद
aitraz,ऐतराज़,एत्राज
itibhagwatee,इतिभगवती,इतिभागवती
niveshkarta,निवेशकर्ता,निवेशकर्ता
patkathayen,पटकथाएं,पटकथाएँ
kaabiletaarif,काबिलेतारीफ,काबिलेटरीबार्ट
bhaadas,भादस,भादास
bhogte,भोगते,भोग्ते
holding,होल्डिंग,होल्डिंग
dhatta,धत्ता,धट्टा
dhoron,धोरों,धोरों
upakhyanon,उपाख्यानों,उपख्यानों
fayetteville,फयेत्तेविल्ले,फेयेटेवील
stockton,स्टॉकटन,स्टॉक्टन
brijesh,ब्रजेश,बृजेश
pratigya,प्रतिज्ञा,प्रतिज्ञा
badhaati,बढ़ाती,बढ़ाती
then,थेन,थेन
thomas,थॉमस,थोमास
dhyeywadi,ध्येयवादी,ध्येवादी
tuesday,ट्यूजडे,तुसदाय
wgpl,डब्ल्यूजीपीएल,वीजीएल
ovum,ओवम,ओवूम
gati,गति,गति
nucleus,न्यूक्लियस,न्यूकलस
kraar,क़रार,करर
purooshottamaachary,पुरूषोत्तमाचार्य,पुरूषोत्तमार्यात
manchanda,मनचंदा,मानचंडा
lahsun,लहसुन,लहसून
naqaab,नक़ाब,नकब
suja,सूजा,सुजा
mckenzie,मैकेंज़ी,मैक्केजी
purzon,पुर्जों,पुर्जों
bahunt,बहुंत,बहुंत
bravo,ब्रावो,ब्रोव
amaanat,अमानत,अमानत
jhuthla,झुठला,झूठला
bush,बुश,बुष
chaukhate,चौखटे,चौखाते
apar,अपर,अपर
asthetic,एस्थेटिक,एस्थेटिक
kshetradwara,क्षेत्रद्वारा,क्षेत्राद्रव
sajja,सज्जा,सज्जा
dhahaane,ढहाने,धहने
nariyalyukt,नारियलयुक्त,नरियाल्युक्त
jealous,जूलूस,जीलोस
kursiyo,कुर्सियॉ,कुरसियो
singhaadey,सिंघाड़े,सिंघाये
amy,एमी,एमी
antarmukh,अंतर्मुख,अंतरमखु
thakkar,ठक्कर,ठक्कर
badbolepan,बड़बोलेपन,बडबोलेपन
naxaliyon,नक्सलियों,नाक्सलियों
manner,मैनर,मनरें
himali,हिमाली,हिमाली
naksalavaad,नक्सलवाद,नक्सलावाद
half,हॉफ,हॉल्फ
mahaadharmaadhyaksha,महाधर्माध्यक्ष,महाध्रामध्यक्र
parmoujood,परमौजूद,परमौजूद
tippanikar,टिप्पणीकार,टिप्पणिकार
perels,पेरेल्स,पेलर्स
bhapaee,भपाई,भापै
beetaane,बीताने,बीटाने
valve,वाल्व,वाल्व
dwirookta,द्विरुक्त,द्विरूकता
eddie,एड्डी,एडी
jivaniyaan,जीवनियां,जिवानियाँ
panghal,पंघाल,पांघल
khand,खंडा,खण्ड
urvarkon,उर्वरकों,उरवर्कों
besin,बेसिन,बेसिन
giriwasiyon,गिरिवासियों,गिरिवासियों
paradhin,पराधीन,परधीन
pukhtaa,पुख़्ता,पुख्ता
achnera,अछनेरा,अचनेरा
carson,कार्सन,कार्सन
delta,डेल्टा,देलता
tripura,त्रिपुरा,त्रिपुरा
alaymani,अलयमनी,अलयमानी
kheda,खेड़ा,खेडा
nahargarh,नाहरगढ,नहरगढ़
shalimar,शालीमार,शालीमार
immaichyority,इम्मैच्योरिटी,इम्मैच्योरिटी
elendt,एलएंडटी,इलेंट
properphasebuk,प्रॉपरफेसबुक,प्रोपरफ़्काप
udanon,उड़ानों,उदानों
mhajan,महाजन,महाजन
moses,मोसेस,मोसेस
bataayaaki,बतायाकि,बतायकी
alai,अली,एलै
ilectromeetar,इलेक्ट्रोमीटर,इलेक्ट्रोमीटर
amod,आमोद,एओएम
rookenge,रूकेंगे,रूकेंगे
maariya,मारिया,मारिया
raagon,रागों,रागों
aaipief,आइपीएफ,आईईपीईएफ
phalitartha,फलितार्थ,फलितार्था
supachy,सुपाच्य,सुपच्याय
awashist,अवशिष्ट,अवशिस्त
ishat,ईष्ट,ईशात
rate,रेट,रते
aata,आटा,आआता
mahalon,महलों,महलों
warishthon,वरिष्ठों,वारिष्ठों
jalapot,जलपोत,जलापोट
katrina,कैटरीना,कत्रिना
jismafaroshee,जिस्मफरोशी,जिस्माफराशावरी
salary,सैलरी,सलारी
raza,रज़ा,रज़ा
rectare,रैकेटियर,रिक्टर
basil,बेसिल,बसिल
badhaataa,बढ़ाता,बढ़ाता
charanbaddha,चरणबद्घ,चरणबद्धा
bhadkaya,भड़काया,भड़काया
sahityotsav,साहित्योत्सव,साहित्योत्सव
naraseepura,नरसीपुरा,नरसीपुरा
samjhunga,समझूंगा,समझुंगा
chandrapur,चंद्रपुर,चंद्रपुर
sarkaa,सरका,सरका
dhaah,ढाह,धाह
praudh,प्रौढ,प्रौध
ahitakaaree,अहितकारी,अहितकारे
darawani,डरावनी,दरावानी
belinda,बेलिंडा,बेलिंदा
alayamanee,अलयमनी,अलयमनी
datsun,डैटसन,दातसून
ate,अते,एटी
fasteners,फास्नर्स,फास्टनर्स
bangravala,बंगरावाला,बांगरावाला
saira,सायरा,सैरा
atthas,अट्टहास,अट्शास
nirdal,निर्दल,निर्डल
mahbubnagar,महबूबनगर,महबूबनगर
daratey,डराते,दरते
valkkan,वल्कन,वालकान
khastaur,ख़ासतौर,खस्तौर
barsaai,बरसाई,बरसाई
ananddaayak,आनंददायक,आनंद्याक
banbi,बांबी,बनबी
toh,तो,थो
asmanye,असमान्य,असमन्ये
wipannta,विपन्नता,विपन्ता
spast,स्पस्ट,स्पस्ट
amzera,अमझेरा,एम्जेरा
bechakar,बेचकर,बेचकर
ghatabadh,घटबढ़,घटबाध
kaushalta,कौशलता,कौशलता
machine,मशीन,मछिने
wireless,वायरलेस,वायलेस
fainn,फैंन,फैन
gaano,गानो,गानो
khambhat,खंभात,खम्भात
kyooaaeepeees,क्यूआईपीएस,क्योआईपियोस
dublin,डबलिन,दुबलिन
mta,एमटीए,एमटीए
samruddhiyon,समृद्धियों,समृद्धियों
radhakrushnadas,राधाकृष्णदास,राधकृषपानस
kaansting,कांस्टिंग,कांसटिंग
idukki,इड्डुक्कि,इदुक्की
industrial,इंडस्ट्रियल,इंडस्ट्रीलाल
bharatwanshee,भारतवंशी,भारतवांसही
maangi,मांगी,माँगी
robins,रॉबिंस,रोबिन्स
vladimir,व्लादिमीर,व्लाडिमर
pehowa,पेहोवा,पेहोवा
bagh,बाग,बघ
ummidwaaree,उम्मीदवारी,उम्मिद्वारे
saafgoi,साफगोई,साफगोई
koottaa,कूत्ता,कूट्टा
adain,एडेन,एएडीएन
grenite,ग्रेनाइट,ग्रेनाइट
ustara,उस्तरा,उस्तरा
dhundhta,ढूंढता,धूंढ़ता
sangheeyataa,संघीयता,संघियता
kumari,कुमारी,कुमारी
depthiriya,डिप्थीरिया,देपथिरिया
adchane,अड़चने,अडचने
koriyaah,कोरियाः,कोरियाह
prapat,प्रपात,प्रपट
chhudawaaya,छुड़वाया,छुड़ावाया
suiyan,सूइयां,सुइयां
veronika,वेरोनिका,वेरोनिका
schaeffler,स्कैफलर,शैफ्लर
jyaadaa,ज़यादा,ज्यादा
potter,पॉटर,पोटर
media,मीडिया,मेडिया
yarushalem,यरूशलेम,यारुषलम
pichde,पिछड़े,पिछडे
letaseng,लेटसेंग,लेटासेंग
arthavyawasthataaon,अर्थव्यवस्थताओं,अर्थ्वयताओंस
kakoo,काकू,काकू
nirdeshika,निर्देशिका,निर्देशिका
seto,सेटो,सेटो
navate,नवाते,नवते
samvedansheelata,संवेदन्शीलता,संवेदासंठला
roadrej,रोडरेज,रोडरेज
chhahon,छहों,छहों
laphj,लफ्ज,लफज
vanshvad,वंशवाद,वनश्वद
rohtak,रोहतक,रोहतक
atakta,अटकता,आटकटा
baawaraa,बावरा,बावरा
kribarabh,कृबरभ,क्रिबराभाद
prakashakah,प्रकाशकः,प्रकाशखा
styrolution,स्टायरोल्यूशन,स्ट्रियोलेशन
apaardarshi,अपारदर्शी,अपारदर्शी
bengaluru,बेंगलुरु,बेंगालूरू
andhapan,अंधापन,अंधपन
mainan,मैनन,मैन
kyaah,क्याः,क्याह
formulae,फार्मूले,फ़्रोमुला
hamalavar,हमलावर,हमलवर
amavasya,अमावस्या,अमावस्य
purvapekshaaon,पूर्वापेक्षाओं,पूर्वपेक्षाओं
daishawaalaa,डैशवाला,दैशावाला
oklahoma,ओकलाहोमा,ओकलाहुमा
darmait,डारमैट,दरमैत
sahakalakar,सहकलाकार,सहकलाकर
fatma,फातमा,फतमा
khalati,खलती,खलती
dayitva,दायित्व,दायित्व
kyusaiks,क्यूसैक्स,क्यूजैक्स
tolakarmee,टोलकर्मी,तोलकरमी
version,वर्शन,वर्सिन
parisamvad,परिसंवाद,परिसंवाद
immune,इम्युन,इम्यून
bachti,बचती,बचती
utilities,यूटिलिटीज,यूटिलिटिज
malmaas,मलमास,मालमास
cadmium,कैडमियम,कैडमियम
antioch,एन्टीओक,एंटीयोफ
khatedaar,खातेदार,खटेडार
mohini,मोहिनी,मोहीनी
vishwasniiyataa,विश्वसनीयता,विश्वसनीयता
rehman,रहमान,रहमैन
kanblon,कंबलों,कानबोल
aaryika,आर्यिका,आरिका
marrej,मैरेज,मर्रेज
chheenk,छींक,छींक
phalata,फलता,फलता
baagoraa,बागोरा,बागोरा
pakaude,पकौड़े,पकौडे
lucie,लूसी,लूसी
fatehgadh,फतेहगढ़,फतेहगढ़
grahanakaal,ग्रहणकाल,ग्रहणकाल
jobs,जॉब्स,ज़ब
sadanand,सदानंद,सदानंद
dutt,दत्त,दुत
murgeepalan,मुर्गीपालन,मुर्गीपालन
lurhakate,लुढ़कते,लुरहकते
palmonari,पल्मोनरी,पालमोनारी
win,डब्ल्यूआईएन,विन
ubhaara,उभारा,उभारा
beck,बेक,बेक
padaraunaa,पडरौना,पदारौना
bandhate,बांधते,बंधते
kapoor,कपूर,कपूर
sevaala,सेवाला,सेवाला
vershan,वर्शन,वर्षण
chidhate,चिढ़ते,चिढाते
thane,थाणे,थेन
nikalogi,निकलेगी,निकलोगी
mogali,मोगली,मोगली
dredger,ड्रेजर,ड्रेडगर
nagarik,नागारिक,नागरिक
gajipur,गाजीपुर,गाजीपुर
vadak,वादक,वडक
mitchell,मिचेल,मिचेल
gyatvy,ज्ञातव्य,ज्ञत्वी
standhaari,स्तनधारी,स्तनधारी
dhoraaji,धोराजी,धोराजी
abdunnaasir,अब्दुन्नासिर,अब्दुन्नस्री
vishvwandhya,विश्ववंद्या,विश्वांभड्या
satyaarthprakash,सत्यार्थप्रकाश,सत्यरात्राप्क्ष
shivamogga,शिवमोगा,शिवामोगा
ghumakkdi,घुमक्कड़ी,घुमक्कडी
gayen,गाएं,गयें
chee,ची,ची
theateron,थिएटरों,थीटरों
anadhikaarik,अनाधिकारिक,अनाधिकारिक
shasak,शासक,शसक
hines,हाइंस,हिनेस
bettiah,बेतिया,बेट्टिया
dhatna,धटना,धतना
rahamat,रहमत,रहमत
motihari,मोतिहारी,मोतहरी
pearson,पियरसन,पर्सन
ujback,उज़्बेक,उजबक्क
wheeling,व्हीलिंग,ह्हिलिंग
pythogaras,पाइथागोरस,पाइथोगारस
wipro,विप्रो,विप्रो
kaabiletaareef,काबिलेतारीफ,काबिलेतरात
jamaate,जमाती,जमाते
pulam,पुलम,पुलम
daubaaraa,दौबारा,दौबरा
portillo,पोर्टिलो,पॉर्टिलो
adhik,अधीक,अधिक
dhumrapaan,धुम्रपान,धूमरपान
daampatya,दांपत्य,दामपट्टाया
jamudiya,जामुड़िया,जमुदिया
pedoo,पेडू,पेडू
pipra,पिपरा,पिपरा
blair,ब्लेयर,ब्लैयर
communications,कम्यूनिकेशन्स,कम्निक्शन
alayans,अलायंस,एलायंस
aradas,अरदास,अरादास
gudna,गुदना,गुडना
just,जस्ट,जस्ट
aawajon,आवाज़ों,आवाजों
benvar,बेंवर,बेनवर
amarillo,अमारिलो,अमारिलो
bramhaand,ब्रह्माण्ड़,ब्रहमंद
dikhai,दिखार्इ,दिखाई
tantro,तंत्रों,टैंट्रो
aasan,आसान,आओं
tuglakabad,तुगलकाबाद,तुगलकबाद
sutton,सट्टन,सट्टन
kandrour,कंदरौर,कंद्रोर
khanna,खन्ना,खन्ना
nikalani,निकालनी,निकलनी
dibanoo,डिबनू,दिबनू
immachyoritee,इम्मैच्योरिटी,इम्माचोरियेटी
tolaasan,तोलासन,तोलासन
jaanaakaree,जानाकरी,जानाकरी
liwaal,लिवाल,लिवाल
engeline,एंजेलिन,इंजेलिन
rushitaa,ऋषिता,रूषिता
flint,फ्लिंट,फ्लिंट
vrishchikahsaptah,वृश्चिकःसप्ताह,वृष्किष्पक्षा
aasmatee,आसमती,आसमती
girkar,गिरकर,गिरकर
vaigyaanik,वैज्ञानिक,वैज्ञानिक
bishadhee,बिशड़ी,बिशाधी
phoolatee,फूलती,फूलती
punahsthapana,पुनःस्थापना,पुनःश्पणा
badh,बाध,बढ़
gandha,गंध,गंधा
chakshu,चक्षु,चक्शू
miktaam,मिकटॉम,मिक्तम
liidaron,लीडरों,लिडारों
zabardast,ज़बर्दस्त,जबरदस्त
stuti,स्तुति,स्ट्यू
aurato,औरतो,औरतो
heblikar,हेब्लिकर,हेब्लिकर
rattebaajee,रट्टेबाजी,रत्तेबाजी
francisca,फ्रांसिस्का,फ्रांसिस्का
mumba,बंबा,मुम्बा
pratiyukti,प्रतियुक्ति,प्रतियुक्ति
darati,डराती,दरती
pranon,प्राणों,प्रणों
madison,मेडिसन,मदिसन
